City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.5322,20.0403,61.79,69,100,2.89,ZA,1669059916
1,Carnarvon,-24.8667,113.6333,73.62,57,39,8.93,AU,1669059916
2,Luganville,-15.5333,167.1667,81.25,81,69,5.73,VU,1669060002
3,Akdepe,42.0551,59.3788,37.49,68,100,4.38,TM,1669060002
4,Bethel,41.3712,-73.414,40.01,39,0,12.66,US,1669060002
5,Chokurdakh,70.6333,147.9167,-24.27,99,100,1.39,RU,1669060003
6,Ancud,-41.8697,-73.8203,57.65,52,61,7.83,CL,1669060003
7,Mattru,7.6244,-11.8332,77.25,84,100,2.64,SL,1669060004
8,Guánica,17.9716,-66.908,86.22,79,8,15.88,PR,1669060004
9,Jamestown,42.097,-79.2353,42.39,44,0,19.57,US,1669059605
10,Mandalgovi,45.7625,106.2708,25.5,55,91,10.78,MN,1669060005
11,Naze,28.3667,129.4833,70.72,75,2,6.17,JP,1669060005
12,Busselton,-33.65,115.3333,54.95,72,0,13.04,AU,1669059897
13,Road Town,18.4167,-64.6167,87.89,78,9,22.62,VG,1669059992
14,Rikitea,-23.1203,-134.9692,72.05,85,86,10.18,PF,1669060006
15,Hobart,-42.8794,147.3294,45.27,76,20,12.66,AU,1669060006
16,Albany,42.6001,-73.9662,38.57,42,4,1.01,US,1669059458
17,Itarema,-2.9248,-39.9167,81.54,72,99,17.11,BR,1669060007
18,Ushuaia,-54.8,-68.3,55.02,54,75,13.8,AR,1669060007
19,Hualmay,-11.0964,-77.6139,69.75,73,24,9.37,PE,1669060008
20,Inhambane,-23.865,35.3833,69.78,64,20,5.01,MZ,1669060008
21,Mount Gambier,-37.8333,140.7667,52.09,79,100,13.06,AU,1669060008
22,Yellowknife,62.456,-114.3525,28.92,93,75,4.61,CA,1669059726
23,Gaza,31.5,34.4667,72.19,55,54,3.47,PS,1669060009
24,Ponta do Sol,32.6667,-17.1,68.72,75,35,2.8,PT,1669060009
25,Tuktoyaktuk,69.4541,-133.0374,15.8,92,100,4.61,CA,1669059911
26,Baruun-Urt,46.6806,113.2792,17.67,70,99,6.4,MN,1669060010
27,Nantucket,41.2835,-70.0995,39.34,63,100,16.11,US,1669059793
28,Punta Arenas,-53.15,-70.9167,48.31,81,100,10.36,CL,1669059861
29,Vila Velha,-20.3297,-40.2925,75.15,90,100,5.75,BR,1669060010
30,São Filipe,14.8961,-24.4956,77.02,65,89,12.37,CV,1669060011
31,Vaini,-21.2,-175.2,75.36,88,20,9.22,TO,1669060011
32,Depālpur,22.85,75.55,57.6,39,44,5.46,IN,1669060012
33,Oxford,51.7522,-1.256,44.04,87,75,17.27,GB,1669059805
34,Port Alfred,-33.5906,26.891,69.19,91,27,4.0,ZA,1669060012
35,Lázaro Cárdenas,17.9583,-102.2,83.71,66,22,8.12,MX,1669060013
36,Roebourne,-20.7833,117.1333,75.52,59,89,21.7,AU,1669060013
37,Morondava,-20.2833,44.2833,78.22,62,0,15.55,MG,1669060014
38,Cabo San Lucas,22.8909,-109.9124,82.62,61,0,5.99,MX,1669059957
39,Seoul,37.5683,126.9778,47.64,97,20,3.44,KR,1669059932
40,Birin,26.8865,88.0718,49.03,80,2,4.18,NP,1669060015
41,New Norfolk,-42.7826,147.0587,44.1,74,81,5.97,AU,1669059902
42,Cape Town,-33.9258,18.4232,66.09,66,20,16.11,ZA,1669059826
43,Dunedin,-45.8742,170.5036,56.8,80,73,8.19,NZ,1669060015
44,Ahipara,-35.1667,173.1667,64.89,97,98,12.03,NZ,1669060015
45,Mīzan Teferī,6.9833,35.5833,60.44,87,5,2.66,ET,1669060016
46,Mataura,-46.1927,168.8643,55.47,67,68,5.7,NZ,1669059901
47,Sandy Bay,-42.913,147.3532,45.3,76,20,12.66,AU,1669060016
48,Butaritari,3.0707,172.7902,80.82,80,28,17.38,KI,1669060017
